Peak,Weight
KCTD20,4.137400146179829e-06
DSC3,3.856019203950274e-06
SACS,3.04744180314387e-06
F11R,9.362691815477507e-07
MT-ND6,3.3805917000098516e-07
S100A14,-4.974318557374813e-07
VIM,-1.7557950316578535e-06
TCF19,-2.7369011770175462e-06
SOX15,-2.9716245723760816e-06
MOCS1,-3.0153970972350905e-06
MUC16,-4.087000280060579e-06
CLDN1,-5.876004101370193e-06
COPA,-6.494142930454355e-06
SERINC2,-7.101026724330068e-06
GPRC5A,-7.120532067973143e-06
KRT7,-7.498658075417102e-06
CORO2A,-7.558387806902761e-06
TMBIM1,-1.0030085797028337e-05
CD9,-1.3026241084548746e-05
LAMC2,-1.3859244137782186e-05
KRT17,-1.4483612934074631e-05
PLXNB2,-1.6388050830983072e-05
TNPO2,-1.6432349821399944e-05
IP6K1,-1.756982127900554e-05
FMNL3,-1.771797868117701e-05
LAMB3,-1.7949296983869643e-05
FAM160A1,-1.802649259287804e-05
PERP,-1.8951597569626023e-05
MTPN,-1.9624167610797153e-05
KRT5,-1.9986654115120133e-05
JUP,-2.1679434306636394e-05
EGFR,-2.324529473771865e-05
ITGB4,-2.419683545890045e-05
DSP,-2.6356189949731776e-05
MAGED1,-2.7388496066030883e-05
CLDN7,-2.849838025521297e-05
PTPRU,-3.1495699667504424e-05
F3,-3.407301700505438e-05
DYNC1LI1,-3.560408068860149e-05
ZC3H12A,-3.603478772037018e-05
KCTD7,-3.695223674814515e-05
PRSS8,-3.710078997613721e-05
SDC4,-3.792365941407945e-05
ITGA6,-3.9008424341223255e-05
TMEM184A,-4.1009952103123596e-05
SEMA4B,-4.181367840576377e-05
GNB1,-4.283711692544359e-05
JAG2,-4.3123206252309814e-05
LAMA5,-4.317950911457116e-05
MYDGF,-4.507636548158925e-05
GJB5,-4.5091846667290476e-05
HDGFL2,-4.5378802898632384e-05
S100A11,-4.6342697076498545e-05
EHF,-4.645734789278431e-05
PTAFR,-4.647184820879528e-05
MYO1B,-4.680636711720776e-05
SCAMP3,-4.7563422278841125e-05
PPL,-4.824399478842187e-05
FXYD3,-4.85012640930902e-05
PRKACA,-4.939575354603229e-05
C19orf33,-5.469425808950276e-05
SPINT1,-5.5804909935146007e-05
CSTA,-5.684474002153044e-05
TCF12,-5.7077450510174836e-05
CDH1,-6.005782249840318e-05
LSR,-6.186160516592072e-05
PTBP3,-6.306857352590668e-05
BAP1,-6.391821554432124e-05
ZHX3,-6.593248390524699e-05
KRT80,-6.60480179218025e-05
CTNND1,-6.658622154645531e-05
NSF,-6.763390443449222e-05
KRT16,-6.962746770178739e-05
FAM156A,-7.067459132138474e-05
RASSF7,-7.2667562336871e-05
DSC2,-7.351924278127684e-05
BLCAP,-7.393932887185084e-05
ADGRF4,-7.93867770923195e-05
C1QTNF6,-8.290204581003013e-05
DPY19L2,-8.477434766729816e-05
FAAP20,-8.580167723340626e-05
ANXA8L1,-8.59990642460669e-05
DDR1,-8.644607337240565e-05
TP63,-9.338080292148867e-05
NCDN,-9.355102131929058e-05
JAZF1,-9.501111226442635e-05
CRB3,-9.544902182340342e-05
YBX3,-9.548225888647148e-05
TNKS1BP1,-9.585492627168604e-05
ST14,-9.636462424742151e-05
USP43,-9.765145473955384e-05
CD46,-0.00010182946781005146
DENND5A,-0.00010570456096142169
CENPO,-0.00010587322127875992
CTSH,-0.00010937701100907456
SRM,-0.00011402883732426854
PCDH1,-0.0001144205381449286
P3H1,-0.00011549677526746673
FERMT1,-0.00011637497256062045
CD99L2,-0.00012334737247048582
LIX1L,-0.00012407757730836563
PDLIM1,-0.00013230753389799403
INAVA,-0.00013237594103655183
MARVELD2,-0.0001333282145950414
UBE2J2,-0.00013727842200597336
USP11,-0.0001384254873770958
GALNT3,-0.00014318976724559215
COPS8,-0.0001436600734321012
KIAA1522,-0.00014669995385648794
TSPAN1,-0.0001527235713153328
CRYBG1,-0.0001543304401070867
